AVG,ROWNO,PREAVG_2,MM_0,PUM_NAME,PREAVG_1,MM_1,UNIT_NAME,MM_2,GRADE_NAME
"8,938",241,"13,133",202507,애호박,"13,736",202506,  20개,202505,중
"5,838",242,"9,106",202507,애호박,"8,649",202506,  20개,202505,하
"16,000",243,"16,000",202507,양배추,"16,000",202506,   8키로망대,202505,특
"16,000",244,"16,000",202507,양배추,"16,000",202506,   8키로망대,202505,상
"16,000",245,"16,000",202507,양배추,"16,000",202506,   8키로망대,202505,중
"15,769",246,"15,769",202507,양배추,"15,769",202506,   8키로망대,202505,하
"8,176",247,"10,311",202507,양배추,"5,259",202506,  10키로망대,202505,특
"7,363",248,"9,139",202507,양배추,"4,782",202506,  10키로망대,202505,상
"6,132",249,"7,636",202507,양배추,"4,140",202506,  10키로망대,202505,중
"3,929",250,"5,541",202507,양배추,"3,122",202506,  10키로망대,202505,하
"24,797",251,"13,132",202507,양상추,"15,733",202506,   8키로상자,202505,상
"20,330",252,"10,855",202507,양상추,"12,702",202506,   8키로상자,202505,중
"14,993",253,"9,739",202507,양상추,"10,092",202506,   8키로상자,202505,하
"10,346",254,"7,731",202507,양상추 수입,"7,500",202506,   8키로상자,202505,상
"10,274",255,"7,671",202507,양상추 수입,"7,500",202506,   8키로상자,202505,중
"9,865",256,"7,241",202507,양상추 수입,"7,000",202506,   8키로상자,202505,하
"20,087",257,"14,175",202507,양상추(일반),"14,091",202506,  10키로상자,202505,상
"17,412",258,"12,414",202507,양상추(일반),"12,425",202506,  10키로상자,202505,중
"12,469",259,"9,680",202507,양상추(일반),"9,484",202506,  10키로상자,202505,하
"18,712",260,"21,481",202507,양송이,"21,700",202506,   2키로상자,202505,특
"17,923",261,"20,248",202507,양송이,"20,645",202506,   2키로상자,202505,상
"14,389",262,"16,428",202507,양송이,"17,158",202506,   2키로상자,202505,중
"8,698",263,"10,530",202507,양송이,"10,627",202506,   2키로상자,202505,하
"1,050",264,970,202507,양파,850,202506,   1키로,202505,특
971,265,818,202507,양파,774,202506,   1키로,202505,상
787,266,723,202507,양파,694,202506,   1키로,202505,중
558,267,669,202507,양파,551,202506,   1키로,202505,하
"7,455",268,"3,492",202507,얼갈이배추,"4,979",202506,   4키로상자,202505,상
"6,744",269,"2,683",202507,얼갈이배추,"4,278",202506,   4키로상자,202505,중
"4,133",270,"1,760",202507,얼갈이배추,"2,509",202506,   4키로상자,202505,하
